gRNA,gene,T0_F,T0_M,T1_F,T1_M
Brie_Sinhcaf_4,Sinhcaf,199.578979052808,217.467789889712,210.912390469509,78.7017403134554
Brie_Rnf20_1,Rnf20,228.750712878239,226.394628555136,0.201381479554908,331.503707987117
Brie_Rnf20_2,Rnf20,187.910285522635,153.194551498664,10.1532184164101,331.123554652269
Brie_Rnf20_3,Rnf20,221.715177073282,207.469730584438,0.584144438664724,32.7031867968945
Brie_Rnf20_4,Rnf20,51.6611287144412,43.0373623673405,45.9415550931779,0.01
Brie_Nup107_1,Nup107,196.661805670264,128.377940008788,0.201381479554908,0.01
Brie_Nup107_2,Nup107,157.194165788798,157.657970831376,0.584144438664724,4.76191668559513
Brie_Nup107_3,Nup107,181.217946586212,184.438486827646,5.94282586620215,269.72879107438
Brie_Nup107_4,Nup107,171.436835832979,166.406272723491,121.728620996921,51.5207768718513
Brie_Hspa13_1,Hspa13,184.649915271557,174.083353975755,23.9326849443635,53.8016968809369
Brie_Hspa13_2,Hspa13,161.140929776944,171.583839149437,0.775525918219632,10.8443700431569
Brie_Hspa13_3,Hspa13,222.401570810351,207.29119381113,6.32558882531196,7.61306669695222
Brie_Hspa13_4,Hspa13,199.40738061854,158.729191471227,16.8515702008319,0.580230002271416
Brie_Dnlz_1,Dnlz,169.377654621772,146.76722765956,0.584144438664724,144.278190574668
Brie_Dnlz_2,Dnlz,203.354144606687,175.333111388914,49.0036587660564,256.23334768729
Brie_Dnlz_3,Dnlz,152.389409629315,176.939942348691,79.050551056177,370.849578143844
Brie_Dnlz_4,Dnlz,240.247807974145,284.776153427004,0.775525918219632,636.576759202324
Brie_Ncapd2_1,Ncapd2,254.318879584059,242.462938152898,92.2558731454656,52.4711602089703
Brie_Ncapd2_2,Ncapd2,233.898665906257,188.187759067124,0.392762959109816,453.5329284732
Brie_Ncapd2_3,Ncapd2,128.880424134702,154.979919231749,29.4827478514558,228.29207757599
Brie_Ncapd2_4,Ncapd2,154.791787709056,161.407243070854,1.15828887732945,0.200076667423805
Brie_Lfng_1,Lfng,255.691667058197,307.271786863871,54.1709587140389,383.584714861239
Brie_Lfng_2,Lfng,262.727202863154,260.673689030361,77.7108806992926,246.349360981252
Brie_Lfng_3,Lfng,274.739093261861,258.53124775066,1.15828887732945,425.211505027053
Brie_Lfng_4,Lfng,159.424945434272,143.375028966699,10.7273628550748,56.2726935574464
Brie_Med25_1,Med25,223.259562981688,246.212210392376,52.6399068775997,98.4697137255312
Brie_Med25_2,Med25,259.466832612077,299.059095291682,281.340774945715,59.3139202362273
Brie_Med25_3,Med25,174.52560764979,203.720458344961,24.6982108625831,191.417204095772
Brie_Med25_4,Med25,146.898259732763,149.266742485878,200.386409093989,115.006383791402
Brie_H3c2_1,H3c2,256.378060795266,256.567343244267,40.3914921860856,0.200076667423805
Brie_H3c2_2,H3c2,182.247537191816,180.153604268243,5.94282586620215,0.01
Brie_H3c2_3,H3c2,165.945685936427,176.404332028765,0.584144438664724,0.960383337119027
Brie_H3c2_4,H3c2,194.602624459057,188.187759067124,735.489025929511,482.994811923889
Brie_Nol11_1,Nol11,114.809352524788,109.631578811399,11.6842702528494,26.6207334393328
Brie_Nol11_2,Nol11,119.785707118538,129.806234195255,40.9656366247503,2.29092000908566
Brie_Nol11_3,Nol11,195.117419761859,178.18969976185,42.3053069816347,41.6367901658134
Brie_Nol11_4,Nol11,238.360225197205,255.853196151033,32.5448515243343,111.775080445198
Brie_Vps33a_1,Vps33a,149.129039378237,182.83165586787,99.9111323276619,36.8848734802182
Brie_Vps33a_2,Vps33a,153.075803366384,134.269653527967,0.392762959109816,41.4467134983896
Brie_Vps33a_3,Vps33a,315.236323748932,270.850285108944,1.15828887732945,562.066705572193
Brie_Vps33a_4,Vps33a,350.757199642252,427.784108847086,8.43078510041595,6.28253002498558
Brie_Vps29_1,Vps29,245.910556304964,211.040466050608,0.392762959109816,21.6787400863138
Brie_Vps29_2,Vps29,205.756522686428,225.144871141977,83.4523250859399,54.3719268832083
Brie_Vps29_3,Vps29,312.319150366388,295.845433372129,21.2533442305948,34.223800136285
Brie_Vps29_4,Vps29,235.786248683197,183.545802961104,13.7894665279534,94.2880270422075
Brie_Med15_1,Med15,220.857184901946,218.181936982946,25.6551182603577,256.423424354713
Brie_Med15_2,Med15,213.13525535992,245.855136845759,413.585377318156,138.005660549683
Brie_Med15_3,Med15,191.170655773712,162.299926937396,121.728620996921,276.571551101637
Brie_Med15_4,Med15,193.573033853454,197.828744825781,223.734949599687,374.65111149232
Brie_Kif20a_1,Kif20a,170.578843661643,172.29798624267,79.4333140152868,33.0833401317421
Brie_Kif20a_2,Kif20a,174.868804518324,203.898995118269,0.392762959109816,10.8443700431569
Brie_Kif20a_3,Kif20a,181.389545020479,219.788767942723,0.392762959109816,4.76191668559513
Brie_Kif20a_4,Kif20a,199.578979052808,264.065887723222,0.392762959109816,0.01
Brie_Med29_1,Med29,327.934607884708,348.335244724819,51.1088550411604,193.888200772281
Brie_Med29_2,Med29,183.277127797419,156.0511398716,7.66525918219632,9.13368003634266
Brie_Med29_3,Med29,171.951631135781,214.075591196852,107.183628550748,18.8275900749567
Brie_Med29_4,Med29,241.448997014016,238.535129140112,4.02901107065307,465.697835188323
Brie_Ccdc59_1,Ccdc59,151.531417457979,115.34475555727,0.775525918219632,68.43760027257
Brie_Ccdc59_2,Ccdc59,158.738551697203,154.979919231749,285.359786016368,104.552167083093
Brie_Ccdc59_3,Ccdc59,214.336444399791,262.994667083372,44.2191217771837,392.138164895311
Brie_Ccdc59_4,Ccdc59,162.856914119617,177.475552668616,0.392762959109816,98.0895603906836
Brie_Mrps2_1,Mrps2,260.49642321768,255.317585831107,60.6779290189058,87.2551903475267
Brie_Mrps2_2,Mrps2,148.785842509703,206.934120264513,5.75144438664724,35.5543368082516
Brie_Mrps2_3,Mrps2,295.502503808198,294.238602412353,1.54105183643926,166.897313998101
Brie_Mrps2_4,Mrps2,143.294692613151,146.945764432868,0.392762959109816,88.5857270194933
Brie_Zfp131_1,Zfp131,151.703015892246,182.653119094561,0.201381479554908,48.859703527918
Brie_Zfp131_2,Zfp131,284.691802449362,283.883469560462,104.695669316535,935.187203725123
Brie_Zfp131_3,Zfp131,151.531417457979,146.588690886251,38.2862959109816,982.326217246226
Brie_Zfp131_4,Zfp131,204.898530515092,234.0717098074,0.01,29.8520367855374
Brie_Cir1_1,Cir1,163.714906290953,177.832626215233,37.1380070336521,107.023163759602
